Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
96.93026995658875	0	-183.31252	40.497536	-93.155655	-329.4079	151.0	0.0	50132	50132
198.39927887916565	1	-146.84857	37.22098	-71.46482	-291.98236	151.0	0.0	50132	100264
293.03860330581665	2	-142.62314	37.019295	-59.34902	-280.91364	151.0	0.0	50132	150396
391.40369963645935	3	-135.45201	41.029343	-23.07874	-246.80441	151.0	0.0	50132	200528
489.664674282074	4	-124.96159	37.705208	11.809877	-227.0137	151.0	0.0	50132	250660
590.0452995300293	5	-116.687355	38.98311	-3.850399	-261.41772	151.0	0.0	50132	300792
692.0121676921844	6	-107.65013	33.650776	9.454456	-225.80377	151.0	0.0	50132	350924
793.6340708732605	7	-100.963806	32.492783	0.3761139	-201.96051	151.0	0.0	50132	401056
892.084034204483	8	-92.67191	25.769463	-26.70018	-193.7214	151.0	0.0	50132	451188
989.3969798088074	9	-90.827515	25.1207	-24.992102	-167.82361	151.0	0.0	50132	501320
1088.2813565731049	10	-88.61378	24.878853	-33.834293	-177.66855	151.0	0.0	50132	551452
1187.5107355117798	11	-84.08554	22.451145	-21.060974	-172.0087	151.0	0.0	50132	601584
1286.4222211837769	12	-80.355736	24.723675	-2.8528287	-179.44717	151.0	0.0	50132	651716
1387.4238550662994	13	-75.11167	21.585434	-3.5592327	-141.67104	151.0	0.0	50132	701848
1485.2231857776642	14	-72.7973	24.923395	-0.04997742	-184.08908	151.0	0.0	50132	751980
1584.5744123458862	15	-71.7314	25.763762	6.1819305	-165.6767	151.0	0.0	50132	802112
1681.0731151103973	16	-68.209435	27.614832	-2.6919336	-185.48587	151.0	0.0	50132	852244
1778.1555898189545	17	-68.011604	29.922396	3.2345467	-197.93796	151.0	0.0	50132	902376
1878.6733014583588	18	-60.781403	27.33667	4.265978	-181.37834	151.0	0.0	50132	952508
1977.2351961135864	19	-54.964314	21.732231	8.484012	-144.81912	151.0	0.0	50132	1002640
2080.5759909152985	20	-49.91312	20.045937	-2.4240088	-132.35425	151.0	0.0	50132	1052772
2181.034159421921	21	-46.170204	20.802849	18.340786	-132.94449	151.0	0.0	50132	1102904
2276.4939773082733	22	-42.38968	18.4756	2.4719229	-122.22586	151.0	0.0	50132	1153036
2375.4911575317383	23	-39.21874	18.66977	11.25171	-96.572296	151.0	0.0	50132	1203168
2474.6785926818848	24	-35.27632	18.32335	8.983145	-96.92093	151.0	0.0	50132	1253300
2573.225418329239	25	-30.617247	17.604153	17.489634	-87.3062	151.0	0.0	50132	1303432
2670.965229988098	26	-28.570887	17.020302	27.656832	-89.05444	151.0	0.0	50132	1353564
2772.750787973404	27	-27.34681	17.943102	26.737076	-79.32796	151.0	0.0	50132	1403696
2867.992350101471	28	-23.278025	15.71264	15.14871	-89.440125	151.0	0.0	50132	1453828
2969.466117620468	29	-22.94333	16.713634	23.02478	-80.5408	151.0	0.0	50132	1503960
3070.7847151756287	30	-21.181574	15.910293	22.386272	-71.10869	151.0	0.0	50132	1554092
3173.4908175468445	31	-15.52483	15.481237	22.976742	-64.34574	151.0	0.0	50132	1604224
3273.755368947983	32	-12.383916	15.537474	30.620308	-55.37401	151.0	0.0	50132	1654356
3372.0594959259033	33	-9.174596	17.481834	33.52266	-78.30379	151.0	0.0	50132	1704488
3470.2816779613495	34	-11.789715	18.056665	30.536871	-81.91102	151.0	0.0	50132	1754620
3570.601684331894	35	-9.393532	16.143951	25.342068	-63.431324	151.0	0.0	50132	1804752
3670.0225899219513	36	-8.925649	17.82901	34.36675	-93.39726	151.0	0.0	50132	1854884
3771.345457792282	37	-4.90164	17.277119	28.379381	-78.24981	151.0	0.0	50132	1905016
3870.379099369049	38	0.5177648	17.99321	39.239807	-67.61069	151.0	0.0	50132	1955148
3973.3896329402924	39	2.8736675	23.283604	58.282166	-69.30444	151.0	0.0	50132	2005280
4075.890786886215	40	8.065101	23.986666	65.09006	-63.19706	151.0	0.0	50132	2055412
4181.661363601685	41	14.782928	25.438337	59.328526	-87.50703	151.0	0.0	50132	2105544
4287.1436088085175	42	25.817427	24.209728	85.0607	-71.141426	151.0	0.0	50132	2155676
4393.167995452881	43	25.01646	26.037907	83.47696	-70.826965	151.0	0.0	50132	2205808
4494.095327615738	44	30.068577	24.24568	77.155045	-64.734024	151.0	0.0	50132	2255940
4596.906280040741	45	35.93703	24.596786	92.08146	-65.95053	151.0	0.0	50132	2306072
4695.5513751506805	46	39.12475	23.858871	75.959854	-70.969864	151.0	0.0	50132	2356204
4781.556868553162	47	40.753532	26.45572	94.65251	-62.696503	151.0	0.0	50132	2406336
4855.783550977707	48	40.556347	28.862509	99.14748	-56.212566	151.0	0.0	50132	2456468
4918.481391906738	49	38.09206	35.051758	99.00516	-53.517654	151.0	0.0	50132	2506600
4975.26761174202	50	45.432148	33.228355	106.38474	-63.082253	151.0	0.0	50132	2556732
5031.852926015854	51	58.496765	24.411188	104.570755	-56.017143	151.0	0.0	50132	2606864
